406506,2023-03-05,Skottlossning,Skott mot lägenhetsdörr Limhamn.,Malmö,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-2103-skottlossning-malmo/,
406503,2023-03-05,Försvunnen person,Polisen eftersöker en kvinna i 70-årsåldern som försvunnit i Sunne.,Sunne,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-1822-forsvunnen-person-sunne/,
406499,2023-03-05,Trafikolycka personskada,Allvarlig trafikolycka på E4 strax söder om Tierp,Tierp,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-1537-trafikolycka-personskada-tierp/,
406501,2023-03-05,Misshandel grov,Skadad man inkommer till sjukhus Helsingborg.,Helsingborg,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-1654-misshandel-grov-helsingborg/,
406495,2023-03-05,Trafikolycka,En personbil kör in i ett träd på väg 2004 söder om Östra Eljaröd.,Hässleholm,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-1436-trafikolycka-hassleholm/,
406496,2023-03-05,Trafikolycka,Två personbilar i olycka E4.,Klippan,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-1528-trafikolycka-klippan/,
406500,2023-03-05,Skadegörelse,Flertalet ungdomar idkar skadegörelse på en parkerad bil och försöker samtidigt sätta eld på ett förråd.,Nynäshamn,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-1549-skadegorelse-nynashamn/,
406497,2023-03-05,Stöld/inbrott,Det pågår ett inbrott i en verkstad i Duvbo.,Sundbyberg,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-1503-stoldinbrott-sundbyberg/,
406498,2023-03-05,Ofredande/förargelse,En man har sexuellt ofredat ett barn i Brandbergen.,Haninge,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-1313-ofredandeforargelse-haninge/,
406493,2023-03-05,Trafikolycka,En personbil är involverad i en kollision med ett mitträcke på E6 vid Sältenmotet.,Strömstad,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-1328-trafikolycka-stromstad/,
406494,2023-03-05,Brand,Kåge larm om brand i bostad,Skellefteå,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-1226-brand-skelleftea/,
406492,2023-03-05,Trafikolycka,En brandbil har under utryckning kolliderat med en personbil.,Upplands väsby,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-1401-trafikolycka-upplands-vasby/,
406491,2023-03-05,Brand,Det brinner i en villa i Hästveda.,Hässleholm,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-1354-brand-hassleholm/,
406490,2023-03-05,Stöld/inbrott,Två containrar uppbrutna i en inhägnad byggarbetsplats i området Sörby Kumla.,Kumla,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-0943-stoldinbrott-kumla/,
406470,2023-03-05,Trafikolycka,Två personbilar uppges ha kolliderat på Hammaröleden vid Tormestad.,Karlstad,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-1116-trafikolycka-karlstad/,
406488,2023-03-05,Trafikolycka,En trafikolycka inträffar på Italienska vägen.,Båstad,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-1309-trafikolycka-bastad/,
406464,2023-03-05,Brand,Polis ambulans och räddningstjänst larmas till Hjärnarp med anledning av en brand i en bostad.,Ängelholm,https://polisen.se/aktuellt/handelser/2023/mars/5/05-mars-0743-brand-angelholm/,
